id,folder,role,seniority,years,location,github,inconsistency_types,filename
001,inconsistent,Staff Engineer,Senior,6,"Oxford, United Kingdom",True,fictional_company_2,cv_001_staff_engineer_senior.pdf
002,inconsistent,Staff Engineer,Senior,8,"Barcelona, Spain",True,ai_text,cv_002_staff_engineer_senior.pdf
003,inconsistent,DevOps Engineer,Junior,1,"Stockholm, Sweden",True,career_incoherent|fictional_company,cv_003_devops_engineer_junior.pdf
004,inconsistent,Research Engineer,Mid,5,"Barcelona, Spain",True,ai_text,cv_004_research_engineer_mid.pdf
005,inconsistent,Research Engineer,Senior,6,"Edinburgh, United Kingdom",False,company_substitution|career_incoherent,cv_005_research_engineer_senior.pdf
006,inconsistent,Research Engineer,Junior,2,"Stockholm, Sweden",True,fictional_company_2|career_incoherent,cv_006_research_engineer_junior.pdf
007,inconsistent,Staff Engineer,Staff,14,"Glasgow, United Kingdom",False,ai_text,cv_007_staff_engineer_staff.pdf
008,inconsistent,Research Engineer,Senior,6,"Cambridge, United Kingdom",False,career_incoherent|skills_mismatch,cv_008_research_engineer_senior.pdf
009,inconsistent,Staff Engineer,Staff,10,"Amsterdam, Netherlands",False,career_incoherent|fictional_company_2|tech_anachronism,cv_009_staff_engineer_staff.pdf
010,inconsistent,Staff Engineer,Senior,8,"Cambridge, United Kingdom",True,career_incoherent|ai_text,cv_010_staff_engineer_senior.pdf
011,inconsistent,Staff Engineer,Staff,10,"Cambridge, United Kingdom",False,geo_mismatch|career_incoherent,cv_011_staff_engineer_staff.pdf
012,inconsistent,Data Scientist,Mid,5,"Berlin, Germany",True,geo_mismatch|skills_mismatch,cv_012_data_scientist_mid.pdf
013,inconsistent,Machine Learning Engineer,Senior,6,"Cambridge, United Kingdom",False,career_incoherent|geo_mismatch|tech_anachronism,cv_013_machine_learning_engineer_senior.pdf
014,inconsistent,Frontend Engineer,Senior,6,"Birmingham, United Kingdom",False,fictional_company,cv_014_frontend_engineer_senior.pdf
015,inconsistent,Data Scientist,Mid,5,"Leeds, United Kingdom",False,fictional_company_2|geo_mismatch,cv_015_data_scientist_mid.pdf
016,inconsistent,Frontend Engineer,Staff,14,"Oxford, United Kingdom",False,fictional_company_2,cv_016_frontend_engineer_staff.pdf
017,inconsistent,Staff Engineer,Staff,14,"Berlin, Germany",False,date_overlap|skills_mismatch,cv_017_staff_engineer_staff.pdf
018,inconsistent,Data Engineer,Senior,8,"Leeds, United Kingdom",False,career_incoherent,cv_018_data_engineer_senior.pdf
019,inconsistent,Staff Engineer,Senior,6,"Amsterdam, Netherlands",False,tech_anachronism|fictional_company|career_incoherent,cv_019_staff_engineer_senior.pdf
020,inconsistent,Backend Engineer,Staff,10,"Bristol, United Kingdom",False,ai_text|fictional_company,cv_020_backend_engineer_staff.pdf
021,inconsistent,DevOps Engineer,Junior,1,"Lisbon, Portugal",False,date_overlap|tech_anachronism|company_substitution,cv_021_devops_engineer_junior.pdf
022,inconsistent,Full Stack Engineer,Mid,4,"Dublin, Ireland",False,ai_text|tech_anachronism,cv_022_full_stack_engineer_mid.pdf
023,inconsistent,Principal Engineer,Staff,12,"Amsterdam, Netherlands",False,skills_mismatch|fictional_company_2|tech_anachronism,cv_023_principal_engineer_staff.pdf
024,inconsistent,DevOps Engineer,Junior,2,"London, United Kingdom",True,ai_text,cv_024_devops_engineer_junior.pdf
025,inconsistent,Data Engineer,Junior,1,"Cambridge, United Kingdom",True,company_substitution,cv_025_data_engineer_junior.pdf
026,inconsistent,Data Scientist,Mid,4,"Lisbon, Portugal",True,skills_mismatch,cv_026_data_scientist_mid.pdf
027,inconsistent,DevOps Engineer,Staff,12,"Glasgow, United Kingdom",True,geo_mismatch|company_substitution|ai_text,cv_027_devops_engineer_staff.pdf
028,inconsistent,Frontend Engineer,Staff,14,"Manchester, United Kingdom",False,fictional_company_2|fictional_company|ai_text,cv_028_frontend_engineer_staff.pdf
029,inconsistent,Principal Engineer,Staff,10,"Cambridge, United Kingdom",False,skills_mismatch|date_overlap|ai_text,cv_029_principal_engineer_staff.pdf
030,inconsistent,Machine Learning Engineer,Senior,7,"Cambridge, United Kingdom",False,skills_mismatch,cv_030_machine_learning_engineer_senior.pdf
031,inconsistent,Research Engineer,Junior,1,"Stockholm, Sweden",False,ai_text,cv_031_research_engineer_junior.pdf
032,inconsistent,Machine Learning Engineer,Staff,12,"Lisbon, Portugal",False,fictional_company|date_overlap,cv_032_machine_learning_engineer_staff.pdf
033,inconsistent,Frontend Engineer,Junior,2,"Oxford, United Kingdom",False,career_incoherent|geo_mismatch,cv_033_frontend_engineer_junior.pdf
034,inconsistent,Principal Engineer,Staff,10,"Glasgow, United Kingdom",False,tech_anachronism,cv_034_principal_engineer_staff.pdf
035,inconsistent,Data Engineer,Senior,6,"Manchester, United Kingdom",False,tech_anachronism|date_overlap|fictional_company,cv_035_data_engineer_senior.pdf
036,inconsistent,Data Analyst,Junior,1,"Edinburgh, United Kingdom",True,ai_text|geo_mismatch|fictional_company,cv_036_data_analyst_junior.pdf
037,inconsistent,BI Analyst,Mid,5,"Zurich, Switzerland",True,geo_mismatch,cv_037_bi_analyst_mid.pdf
038,inconsistent,Staff Engineer,Staff,12,"Glasgow, United Kingdom",False,ai_text|career_incoherent,cv_038_staff_engineer_staff.pdf
039,inconsistent,Frontend Engineer,Mid,5,"Liverpool, United Kingdom",True,fictional_company,cv_039_frontend_engineer_mid.pdf
040,inconsistent,Full Stack Engineer,Junior,1,"Stockholm, Sweden",True,date_overlap|company_substitution,cv_040_full_stack_engineer_junior.pdf
041,inconsistent,Data Scientist,Mid,4,"Liverpool, United Kingdom",True,career_incoherent|fictional_company|company_substitution,cv_041_data_scientist_mid.pdf
042,inconsistent,Data Analyst,Senior,8,"Bristol, United Kingdom",False,career_incoherent,cv_042_data_analyst_senior.pdf
